# soname	symbol	version
libLLVM-14.so.1	LLVMInitializeMSP430AsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430Disassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430Target	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430TargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430TargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeVEAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeVEAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeVEDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeVETarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeVETargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeVETargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86AsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86AsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86Disassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86Target	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86TargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86TargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInsertBasicBlockInContext	LLVM_14
libLLVM-14.so.1	LLVMInt16TypeInContext	LLVM_14
libLLVM-14.so.1	LLVMInt32TypeInContext	LLVM_14
libLLVM-14.so.1	LLVMInt64TypeInContext	LLVM_14
libLLVM-14.so.1	LLVMInt8TypeInContext	LLVM_14
libLLVM-14.so.1	LLVMIntTypeInContext	LLVM_14
libLLVM-14.so.1	LLVMLinkInMCJIT	LLVM_14
libLLVM-14.so.1	LLVMLoadLibraryPermanently	LLVM_14
libLLVM-14.so.1	LLVMModuleCreateWithNameInContext	LLVM_14
libLLVM-14.so.1	LLVMOrcAbsoluteSymbols	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateCustomCAPIDefinitionGenerator	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateDynamicLibrarySearchGeneratorForProcess	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateLLJIT	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateLLJITBuilder	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateNewThreadSafeContext	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateNewThreadSafeModule	LLVM_14
libLLVM-14.so.1	LLVMOrcCreateRTDyldObjectLinkingLayerWithSectionMemoryManager	LLVM_14
libLLVM-14.so.1	LLVMOrcDisposeLLJIT	LLVM_14
libLLVM-14.so.1	LLVMOrcDisposeMaterializationUnit	LLVM_14
libLLVM-14.so.1	LLVMOrcDisposeThreadSafeContext	LLVM_14
libLLVM-14.so.1	LLVMOrcExecutionSessionGetSymbolStringPool	LLVM_14
libLLVM-14.so.1	LLVMOrcExecutionSessionSetErrorReporter	LLVM_14
libLLVM-14.so.1	LLVMOrcJITDylibAddGenerator	LLVM_14
libLLVM-14.so.1	LLVMOrcJITDylibCreateResourceTracker	LLVM_14
libLLVM-14.so.1	LLVMOrcJITDylibDefine	LLVM_14
libLLVM-14.so.1	LLVMOrcJITTargetMachineBuilderCreateFromTargetMachine	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITAddLLVMIRModuleWithRT	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITBuilderSetJITTargetMachineBuilder	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITBuilderSetObjectLinkingLayerCreator	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITGetExecutionSession	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITGetGlobalPrefix	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITGetMainJITDylib	LLVM_14
libLLVM-14.so.1	LLVMOrcLLJITLookup	LLVM_14
libLLVM-14.so.1	LLVMOrcRTDyldObjectLinkingLayerRegisterJITEventListener	LLVM_14
libLLVM-14.so.1	LLVMOrcReleaseResourceTracker	LLVM_14
libLLVM-14.so.1	LLVMOrcResourceTrackerRemove	LLVM_14
libLLVM-14.so.1	LLVMOrcRetainSymbolStringPoolEntry	LLVM_14
libLLVM-14.so.1	LLVMOrcSymbolStringPoolClearDeadEntries	LLVM_14
libLLVM-14.so.1	LLVMOrcSymbolStringPoolEntryStr	LLVM_14
libLLVM-14.so.1	LLVMParseBitcodeInContext2	LLVM_14
libLLVM-14.so.1	LLVMPassManagerBuilderCreate	LLVM_14
libLLVM-14.so.1	LLVMPassManagerBuilderDispose	LLVM_14
libLLVM-14.so.1	LLVMPassManagerBuilderPopulateFunctionPassManager	LLVM_14
libLLVM-14.so.1	LLVMPassManagerBuilderPopulateModulePassManager	LLVM_14
libLLVM-14.so.1	LLVMPassManagerBuilderSetOptLevel	LLVM_14
libLLVM-14.so.1	LLVMPassManagerBuilderUseInlinerWithThreshold	LLVM_14
libLLVM-14.so.1	LLVMPointerType	LLVM_14
libLLVM-14.so.1	LLVMPositionBuilderAtEnd	LLVM_14
libLLVM-14.so.1	LLVMRunFunctionPassManager	LLVM_14
libLLVM-14.so.1	LLVMRunPassManager	LLVM_14
libLLVM-14.so.1	LLVMSearchForAddressOfSymbol	LLVM_14
libLLVM-14.so.1	LLVMSetDataLayout	LLVM_14
libLLVM-14.so.1	LLVMSetFunctionCallConv	LLVM_14
libLLVM-14.so.1	LLVMSetGlobalConstant	LLVM_14
libLLVM-14.so.1	LLVMSetInitializer	LLVM_14
libLLVM-14.so.1	LLVMSetLinkage	LLVM_14
libLLVM-14.so.1	LLVMSetParamAlignment	LLVM_14
libLLVM-14.so.1	LLVMSetTarget	LLVM_14
libLLVM-14.so.1	LLVMSetUnnamedAddr	LLVM_14
libLLVM-14.so.1	LLVMSetVisibility	LLVM_14
libLLVM-14.so.1	LLVMStructGetTypeAtIndex	LLVM_14
libLLVM-14.so.1	LLVMTypeOf	LLVM_14
libLLVM-14.so.1	LLVMVoidTypeInContext	LLVM_14
libLLVM-14.so.1	LLVMWriteBitcodeToFile	LLVM_14
libLLVM-14.so.1	_Z18getPollyPluginInfov	LLVM_14
libLLVM-14.so.1	_Z24createDebugifyModulePass12DebugifyModeN4llvm9StringRefEPNS0_9MapVectorIS1_16DebugInfoPerPassNS0_8DenseMapIS1_jNS0_12DenseMapInfoIS1_vEENS0_6detail12DenseMapPairIS1_jEEEESt6vectorISt4pairIS1_S3_ESaISD_EEEE	LLVM_14
libLLVM-14.so.1	_Z26createDebugifyFunctionPass12DebugifyModeN4llvm9StringRefEPNS0_9MapVectorIS1_16DebugInfoPerPassNS0_8DenseMapIS1_jNS0_12DenseMapInfoIS1_vEENS0_6detail12DenseMapPairIS1_jEEEESt6vectorISt4pairIS1_S3_ESaISD_EEEE	LLVM_14
libLLVM-14.so.1	_Z29createCheckDebugifyModulePassbN4llvm9StringRefEPNS_9MapVectorIS0_18DebugifyStatisticsNS_8DenseMapIS0_jNS_12DenseMapInfoIS0_vEENS_6detail12DenseMapPairIS0_jEEEESt6vectorISt4pairIS0_S2_ESaISC_EEEE12DebugifyModePNS1_IS0_16DebugInfoPerPassS9_SA_ISB_IS0_SI_ESaISJ_EEEES0_	LLVM_14
libLLVM-14.so.1	_Z31createCheckDebugifyFunctionPassbN4llvm9StringRefEPNS_9MapVectorIS0_18DebugifyStatisticsNS_8DenseMapIS0_jNS_12DenseMapInfoIS0_vEENS_6detail12DenseMapPairIS0_jEEEESt6vectorISt4pairIS0_S2_ESaISC_EEEE12DebugifyModePNS1_IS0_16DebugInfoPerPassS9_SA_ISB_IS0_SI_ESaISJ_EEEES0_	LLVM_14
libLLVM-14.so.1	_ZN4llvm10AllocaInstC1EPNS_4TypeEjPNS_5ValueENS_5AlignERKNS_5TwineEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10AllocaInstC1EPNS_4TypeEjPNS_5ValueERKNS_5TwineEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10AllocaInstC1EPNS_4TypeEjRKNS_5TwineEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10BasicBlock15eraseFromParentEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm10BasicBlockC1ERNS_11LLVMContextERKNS_5TwineEPNS_8FunctionEPS0_	LLVM_14
libLLVM-14.so.1	_ZN4llvm10BasicBlockD1Ev	LLVM_14
libLLVM-14.so.1	_ZN4llvm10BranchInstC1EPNS_10BasicBlockEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10BranchInstC1EPNS_10BasicBlockES2_PNS_5ValueEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10CallBrInst4initEPNS_12FunctionTypeEPNS_5ValueEPNS_10BasicBlockENS_8ArrayRefIS6_EENS7_IS4_EENS7_INS_17OperandBundleDefTIS4_EEEERKNS_5TwineE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10CallbackVH6anchorEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ConstantFP11getInfinityEPNS_4TypeEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ConstantFP23getZeroValueForNegationEPNS_4TypeE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ConstantFP3getEPNS_4TypeERKNS_7APFloatE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ConstantFP3getEPNS_4TypeEd	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ConstantFP3getERNS_11LLVMContextERKNS_7APFloatE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ConstantFP7getQNaNEPNS_4TypeEbPNS_5APIntE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10DILocation7getImplERNS_11LLVMContextEjjPNS_8MetadataES4_bNS3_11StorageTypeEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10DataLayout5clearEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm10DataLayout5resetENS_9StringRefE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10DataLayoutC1EPKNS_6ModuleE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10DataLayoutD1Ev	LLVM_14
libLLVM-14.so.1	_ZN4llvm10InvokeInst4initEPNS_12FunctionTypeEPNS_5ValueEPNS_10BasicBlockES6_NS_8ArrayRefIS4_EENS7_INS_17OperandBundleDefTIS4_EEEERKNS_5TwineE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10MCStreamer9emitZerosEm	LLVM_14
libLLVM-14.so.1	_ZN4llvm10NoCFIValue3getEPNS_11GlobalValueE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10PassPlugin4LoadERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ResumeInstC1EPNS_5ValueEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ReturnInstC1ERNS_11LLVMContextEPNS_5ValueEPNS_10BasicBlockE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ReturnInstC1ERNS_11LLVMContextEPNS_5ValueEPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType3getERNS_11LLVMContextENS_8ArrayRefIPNS_4TypeEEEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType3getERNS_11LLVMContextEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType6createENS_8ArrayRefIPNS_4TypeEEENS_9StringRefEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType6createERNS_11LLVMContextE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType6createERNS_11LLVMContextENS_8ArrayRefIPNS_4TypeEEENS_9StringRefEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType6createERNS_11LLVMContextENS_9StringRefE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType7setBodyENS_8ArrayRefIPNS_4TypeEEEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10StructType7setNameENS_9StringRefE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10SwitchInst7addCaseEPNS_11ConstantIntEPNS_10BasicBlockE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10SwitchInstC1EPNS_5ValueEPNS_10BasicBlockEjPNS_11InstructionE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10SwitchInstC1EPNS_5ValueEPNS_10BasicBlockEjS4_	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ThreadPool4growEi	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ThreadPool4waitEv	LLVM_14
